編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,url,顏色

2605,開架,MISSHA,全效蝸牛系列,,全效蝸牛深層修護面膜,Snail Sheet Mask,3D立體片狀面膜，能貼合於臉部輪廓，不易脫落。含蝸牛黏液萃取精華，可以改善暗淡的膚色，使肌膚明亮有活力；玻尿酸成分提供肌膚高保濕效果；甘草萃取液讓肌膚明亮有光澤。,,保養品,"保養面膜,","保濕,滋潤,修護,",2012/3/1,"容量:5入:NT190,","TW, MY",,N,"MISSHA 全效蝸牛深層修護面膜,全效蝸牛深層修護面膜",2016/2/25,,N,N,,N,https://pic.pimg.tw/styleme/1456389340-1722073383.jpg,,,,,,,,https://www.urcosme.com/products/45107,

2707,開架,MISSHA,基礎底妝系列,,全新進階Complexion Coordinating BB霜 SPF43/PA+++,Complexion Coordinating BB Cream,具有高防曬係數，並能達到四大肌膚保養功效：喚白、緊緻、水潤亮澤、舒潤，三重膠囊式微粒，幫助調整膚色、遮瑕、平滑肌膚。,,彩妝品,"BB霜,","潤色,修飾毛孔,遮瑕,",2016/2/25,"容量:50ml:NT990,","TW, MY",,N,"MISSHA 全新進階Complexion Coordinating BB霜,全新進階 BB霜,全新進階Complexion Coordinating BB霜",2016/2/25,,N,N,,N,https://pic.pimg.tw/styleme/1456494011-729654493.jpg,,,,,,https://www.urcosme.com/products/64412,自然膚色

2752-1,開架,MISSHA,基礎底妝系列,,輕透裸光飾底隔離霜SPF30/PA++(粉綠色),The Style Fitting Wear Make-Up Base,緊緻、潤白、防曬隔離。,,彩妝品,"妝前打底,","潤色,修正膚色,透亮,",,"容量:30ml:NT450,","TW, MY",,N,"MISSHA 輕透裸光飾底隔離霜,輕透裸光飾底隔離霜",2016/2/25,,N,N,1,N,https://pic.pimg.tw/styleme/1460016291-3933914740.jpg,,,,,,http://www.watsons.com.tw/輕透裸光飾底隔離霜spf30%EF%BC%8Fpa-（粉綠色）m2882/p/BP_558706,粉綠色
2752-2,開架,MISSHA,基礎底妝系列,,輕透裸光飾底隔離霜SPF30/PA++(透白膚色),The Style Fitting Wear Make-Up Base,緊緻、潤白、防曬隔離。,,彩妝品,"妝前打底,","潤色,修正膚色,透亮,",,"容量:30ml:NT450,","TW, MY",,N,"MISSHA 輕透裸光飾底隔離霜,輕透裸光飾底隔離霜",2016/2/25,,N,N,1,N,https://pic.pimg.tw/styleme/1460016291-3933914740.jpg,,,,,,http://www.watsons.com.tw/輕透裸光粉底液spf30%EF%BC%8Fpa-（透白膚色）m2885/p/BP_558580,透白膚色
2752-3,開架,MISSHA,基礎底妝系列,,輕透裸光飾底隔離霜SPF30/PA++(水蜜桃膚色),The Style Fitting Wear Make-Up Base,緊緻、潤白、防曬隔離。,,彩妝品,"妝前打底,","潤色,修正膚色,透亮,",,"容量:30ml:NT450,","TW, MY",,N,"MISSHA 輕透裸光飾底隔離霜,輕透裸光飾底隔離霜",2016/2/25,,N,N,1,N,https://pic.pimg.tw/styleme/1460016291-3933914740.jpg,,,,,,http://www.watsons.com.tw/輕透裸光粉底液spf30%EF%BC%8Fpa-（水蜜桃膚色）m2884/p/BP_558615,水蜜桃膚色

2800-1,開架,MISSHA,,,超完美記憶型眉筆-自然棕,Auto Eyebrow Pencil,自然柔滑的描繪出優雅的眉型，不易因汗或水脫妝，同時也省去了削筆的不便。尾端所附的眉刷可以用來整理眉毛與調整眉筆的顏色濃淡。,,彩妝品,"眉彩,","長效持妝,薄透,好上色,色彩飽和,",,"容量:0.35g:NT190,","TW, MY",,N,"MISSHA 超完美自動眉筆,超完美自動眉筆",2016/2/25,,N,N,1,N,https://pic.pimg.tw/styleme/1456498444-1657197295.jpg,,,,,,http://www.watsons.com.tw/missha超完美記憶型眉筆(自然棕)/p/BP_104602,自然棕
